absolute_path	sample_name	genome	tech	project
/home/tamaraperteghella/Programs/LyRic/LyRic/resources/test-data/fastq/ont_HpreCap_0+_30PE2HG01928Q701Rep1.fastq.gz	ont_HpreCap_0+_30PE2HG01928Q701Rep1	hg38_chr12	ONT	PANGENOME
/home/tamaraperteghella/Programs/LyRic/LyRic/resources/test-data/fastq/ont_HpreCap_0+_8NI3GM18906Q701Rep1.fastq.gz	ont_HpreCap_0+_8NI3GM18906Q701Rep1	hg38_chr12	ONT	PANGENOME2
